timestamp,left_x,left_y,right_x,right_y,head_x,head_y,center_x,center_y,eye_dx,eye_dy,head_eye_dx,head_eye_dy
1754382526.6869571,726,380,597,375,655,468,661,377,129,5,6,91
1754382526.720486,726,380,597,374,655,468,661,377,129,6,6,91
1754382526.752413,726,380,597,374,656,467,661,377,129,6,5,90
1754382526.787157,727,380,597,375,656,468,662,377,130,5,6,91
1754382526.818445,726,380,598,374,656,467,662,377,128,6,6,90
1754382526.852322,727,380,597,375,656,467,662,377,130,5,6,90
1754382526.888155,727,380,598,375,656,468,662,377,129,5,6,91
1754382526.920288,727,381,598,375,657,468,662,378,129,6,5,90
1754382526.9535701,728,381,598,375,657,468,663,378,130,6,6,90
1754382526.986495,728,381,599,374,657,468,663,377,129,7,6,91
1754382527.018998,728,381,598,374,657,468,663,377,130,7,6,91
1754382527.052757,728,381,598,374,657,468,663,377,130,7,6,91
1754382527.0880508,728,381,599,374,657,468,663,377,129,7,6,91
1754382527.1185338,728,381,598,374,658,468,663,377,130,7,5,91
1754382527.1530051,728,381,599,373,657,467,663,377,129,8,6,90
1754382527.185507,727,379,597,373,656,466,662,376,130,6,6,90
1754382527.217982,726,378,595,371,654,465,660,374,131,7,6,91
1754382527.252346,724,377,594,370,651,464,659,373,130,7,8,91
1754382527.287652,722,376,592,369,648,463,657,372,130,7,9,91
1754382527.317726,719,375,590,368,645,461,654,371,129,7,9,90
1754382527.3518982,717,374,587,367,643,460,652,370,130,7,9,90
1754382527.3878798,714,373,585,367,641,459,649,370,129,6,8,89
1754382527.418005,713,372,582,366,638,459,647,369,131,6,9,90
1754382527.45171,711,371,581,366,637,458,646,368,130,5,9,90
1754382527.487498,709,371,580,366,635,458,644,368,129,5,9,90
1754382527.519928,708,371,579,365,633,458,643,368,129,6,10,90
1754382527.551161,708,371,578,365,633,457,643,368,130,6,10,89
1754382527.585064,707,371,578,365,633,457,642,368,129,6,9,89
1754382527.6211479,707,371,578,365,632,457,642,368,129,6,10,89
1754382527.6527412,707,371,578,365,632,457,642,368,129,6,10,89
1754382527.687619,707,371,577,365,632,457,642,368,130,6,10,89
1754382527.71981,707,371,577,365,632,457,642,368,130,6,10,89
1754382527.752684,707,371,577,365,632,457,642,368,130,6,10,89
1754382527.787412,706,371,577,365,632,458,641,368,129,6,9,90
1754382527.82005,707,371,577,365,633,458,642,368,130,6,9,90
1754382527.85114,707,372,577,366,633,458,642,369,130,6,9,89
1754382527.888104,708,373,578,366,634,458,643,369,130,7,9,89
1754382527.9202821,709,373,580,365,635,458,644,369,129,8,9,89
1754382527.952956,714,373,584,365,639,458,649,369,130,8,10,89
1754382527.987057,720,372,590,365,647,459,655,368,130,7,8,91
1754382528.01898,728,372,599,365,658,459,663,368,129,7,5,91
1754382528.0516,736,371,609,366,670,459,672,368,127,5,2,91
1754382528.08528,741,372,616,366,679,460,678,369,125,6,1,91
1754382528.118617,745,372,622,366,685,459,683,369,123,6,2,90
1754382528.15137,749,372,628,366,691,460,688,369,121,6,3,91
1754382528.187006,751,373,630,366,693,460,690,369,121,7,3,91
1754382528.220384,751,373,632,366,694,460,691,369,119,7,3,91
1754382528.251528,752,373,632,366,694,460,692,369,120,7,2,91
1754382528.287182,752,373,632,366,694,460,692,369,120,7,2,91
1754382528.319811,751,373,632,366,693,460,691,369,119,7,2,91
1754382528.35174,751,374,630,367,691,461,690,370,121,7,1,91
1754382528.387226,750,375,628,368,690,461,689,371,122,7,1,90
1754382528.418425,749,376,626,368,688,462,687,372,123,8,1,90
1754382528.451147,748,376,624,368,685,462,686,372,124,8,1,90
1754382528.48701,747,377,623,369,684,463,685,373,124,8,1,90
1754382528.5199559,746,377,621,369,682,464,683,373,125,8,1,91
1754382528.551252,744,378,621,370,681,464,682,374,123,8,1,90
1754382528.587407,744,381,621,373,680,466,682,377,123,8,2,89
1754382528.62005,744,387,620,380,678,469,682,383,124,7,4,86
1754382528.651166,741,388,616,380,675,470,678,384,125,8,3,86
1754382528.6871822,740,388,609,380,671,470,674,384,131,8,3,86
1754382528.71974,737,386,610,377,669,470,673,381,127,9,4,89
1754382528.751947,736,385,607,376,664,470,671,380,129,9,7,90
1754382528.787092,731,385,602,375,659,470,666,380,129,10,7,90
1754382528.8198662,729,383,600,374,654,469,664,378,129,9,10,91
1754382528.851003,725,383,595,374,650,469,660,378,130,9,10,91
1754382528.884515,723,383,592,373,647,468,657,378,131,10,10,90
1754382528.92029,720,383,591,373,646,469,655,378,129,10,9,91
1754382528.952426,721,383,590,375,645,469,655,379,131,8,10,90
1754382528.986809,720,383,589,375,645,470,654,379,131,8,9,91
1754382529.019286,720,383,589,376,645,471,654,379,131,7,9,92
1754382529.052223,720,384,589,377,645,471,654,380,131,7,9,91
1754382529.086968,719,384,588,378,644,472,653,381,131,6,9,91
1754382529.119165,718,385,587,379,644,472,652,382,131,6,8,90
1754382529.15204,717,385,586,379,644,473,651,382,131,6,7,91
1754382529.184911,717,386,586,380,643,474,651,383,131,6,8,91
1754382529.2198179,717,386,586,381,643,474,651,383,131,5,8,91
1754382529.252314,716,386,585,381,643,475,650,383,131,5,7,92
1754382529.28653,716,386,584,382,643,475,650,384,132,4,7,91
1754382529.319958,715,386,583,382,642,475,649,384,132,4,7,91
1754382529.351258,714,386,582,382,641,475,648,384,132,4,7,91
1754382529.386747,713,386,581,383,641,476,647,384,132,3,6,92
